"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1961005454160543787","Thu Aug 28 09:58:28 +0000 2025","65","Teman-teman pecinta punkrock yuk dateng ke festival musik Rebelfest. Ada Rebellion Rose Superman is Dead FSTVLST Sukatani dll. COP akan buka booth merchandise di sana. Kamu bisa beli merch orangutan sambil berdonasi untuk pusat rehabilitasi Info: https://t.co/36iEHq6LCy https://t.co/IxHkWF9JJj","1961005454160543787","https://pbs.twimg.com/media/GzbkD6nbEAAH1nb.jpg","","in","","1","1","25","https://x.com/undefined/status/1961005454160543787","182261760",
"1960673706956743078","Wed Aug 27 12:00:13 +0000 2025","15","Urip Mung Mampir Moshing! Ketemu di YK Rebelfest. Njo moshing sakpole! https://t.co/y1S0jnxSZx","1960673706956743078","https://pbs.twimg.com/media/GzW2VxPa4AMAQ6f.jpg","","in","","0","0","4","https://x.com/undefined/status/1960673706956743078","601922499",
"1959969422271299785","Mon Aug 25 13:21:39 +0000 2025","7","[𝗡𝗲𝘄 𝗔𝗿𝗿𝗶𝘃𝗮𝗹] Tshirt The Jeblogs Sambutlah IDR 220.000 - Available size M L XL XXL Order via Shopee click link on bio! Cash On Delivery https://t.co/ZodGJ9Vj9Z Next Stop Xtreme Mobile Store - 31 Agustus 2025 di YK REBELFEST Stadion Maguwoharjo Jogja. https://t.co/wt3RxLDFi4","1959969422271299785","https://pbs.twimg.com/media/GzM1zHQbUAA6Ywb.jpg","","en","","0","1","1","https://x.com/undefined/status/1959969422271299785","436617891",
"1960204557134504369","Tue Aug 26 04:55:59 +0000 2025","2","17 YEARS OF JOURNEY 17 STAGE STORMER 17 COLLABS MERCHANDISE 1 MAN 1 FLARE ‼️ Grab your tickets now at https://t.co/u6f8IX8Rnj or https://t.co/YRLXF3pDbJ YK REBELFEST ️ : AUGUST 31st 2025 ️ : EAST PARK MAGUWOHARJO INTERNATIONAL STADIUM https://t.co/a9TpNqYsda","1960204557134504369","https://pbs.twimg.com/ext_tw_video_thumb/1960204508136624128/pu/img/XG7t-zHBKQa-OYsr.jpg","","en","","0","1","0","https://x.com/undefined/status/1960204557134504369","552326018",
"1962090944934892006","Sun Aug 31 09:51:49 +0000 2025","4","Bisa menahan kaga beli di sopi tapi ga bisa nahan beli di rebelfest @XtremeMerch https://t.co/ywiImtkSvw","1962090944934892006","https://pbs.twimg.com/media/Gzq_M2uaMAAXxT1.jpg","","in","","0","0","1","https://x.com/undefined/status/1962090944934892006","1345407438690816001",
"1961702529240371392","Sat Aug 30 08:08:24 +0000 2025","12","Njo! Jumpa di dimensi lain. Besok siang 12.30 di panggung Mayhem YK Rebelfest. Total controlled chaos! New songs called Mayhem lyrics selesai waktu kami kemarin otw pulang ke Jogja setelah dari Jakarta melewati Kwitang. Tersedia merch poster 30pcs di booth official merch. https://t.co/fpt1f78HLd","1961702529240371392","https://pbs.twimg.com/media/GzleC4UbIAAfBVI.jpg","","in","","2","1","5","https://x.com/undefined/status/1961702529240371392","601922499",
"1963133512728637805","Wed Sep 03 06:54:37 +0000 2025","79","Rame di Instagram dongker dicaci fans rebellion rose karena membatalkan konser di acara Rebelfest alasannya ada sponsor pendukung israel di event tersebut. Jadi siapa punk sesungguhnya dongker apa rebellion rose wkwkw","1963133512728637805","","","in","","9","5","71","https://x.com/undefined/status/1963133512728637805","839214522",
"1676275540825710600","Tue Jul 04 17:03:27 +0000 2023","10","Weekend content inbound! @weekendrumble on Fri we rocked the barn then met our heroes @Trampolene_Band @johnpowerla @tinyrebel_rebelfest on Saturday afternoon we had a cracking crowd and drank our body weight in Clwb Keep smashing festival season all #festivals #rock https://t.co/GIRPrDNSLK","1676275540825710600","https://pbs.twimg.com/media/F0NTs10XoAIhi19.jpg","","en","","0","0","0","https://x.com/undefined/status/1676275540825710600","1417832853677744131",
"1966083804843622597","Thu Sep 11 10:18:01 +0000 2025","0","[𝗡𝗲𝘄 𝗔𝗿𝗿𝗶𝘃𝗮𝗹] Tshirt 510 Live Rebelfest 2025 IDR 225.510 - Available size M L XL FREE HANDFLAG &amp; STICKER REBELFEST. Order via Shopee click link on bio! Cash On Delivery https://t.co/ZodGJ9Vj9Z 𝘚𝘵𝘰𝘳𝘦 : 𝘑𝘭. 𝘉𝘢𝘬𝘵𝘪 1 𝘒𝘢𝘭𝘪𝘴𝘢𝘳𝘪 𝘑𝘢𝘬𝘢𝘳𝘵𝘢 https://t.co/VnBS7KcFwu","1966083804843622597","https://pbs.twimg.com/media/G0juybVaMAEkrYn.jpg","","en","","0","1","1","https://x.com/undefined/status/1966083804843622597","436617891",
"1949839013759598714","Mon Jul 28 14:27:01 +0000 2025","1","10 lineup Stage Stormers sudah siap mengguncang arena YK Rebelfest 2025. Siap siap masih akan ada 7 lainnya! Sampai jumpa di perhelatan YK Rebelfest 2025! ️ : 31 Agustus 2025 ️ : Stadion Maguwoharjo https://t.co/5XCVSTOLY6","1949839013759598714","https://pbs.twimg.com/media/Gw84PVZbwAAN2zc.jpg","","in","","1","0","0","https://x.com/undefined/status/1949839013759598714","552326018",
"1944373836314550503","Sun Jul 13 12:30:21 +0000 2025","6","Another HUGE 12th Rebelfest at The Devenish Belfast 🇮🇪 Weather was amazing - Perfect festival vibes people moving in &amp; out from the beer Garden Thanks to everyone that came along an unforgettable day of Amazing talent ️ ⭐️ Bo Loughran ⭐️ Shea Doolin ⭐️ Shaun Mc https://t.co/qvlB7K7OOL","1944373836314550503","https://pbs.twimg.com/ext_tw_video_thumb/1944373527445901312/pu/img/3cTH7sev7-iwhJKO.jpg","","en","","0","0","0","https://x.com/undefined/status/1944373836314550503","1270986740782845954",
"1959912788106608835","Mon Aug 25 09:36:36 +0000 2025","4"," Excited -GONA BE HUGE DAY REBELFEST IN Bar 67 - Lanzarote Live Music before &amp; After CELTIC V RANGERS ‍️️ Limited tickets remain ️ https://t.co/uhr215AkaY https://t.co/tifIoNExM1","1959912788106608835","https://pbs.twimg.com/media/GzMCS23XIAA3bWi.jpg","","en","","0","1","0","https://x.com/undefined/status/1959912788106608835","1270986740782845954",
"1675487469796458496","Sun Jul 02 12:51:56 +0000 2023","2","Loving the new vinyl @DTTVOfficial #rebelfest https://t.co/6GAp2w0n3W","1675487469796458496","https://pbs.twimg.com/media/F0CG-OBWcAAGeVn.jpg","","en","","0","1","0","https://x.com/undefined/status/1675487469796458496","215615598",
"1942293694910194010","Mon Jul 07 18:44:37 +0000 2025","5","️ SAT 12TH JULY ️ DOORS 2PM - Pre Order Wristbands for free postage Tomorrow Skip the Ques Going to be Huge Rebelfest - Irish Brigade New Era Shaun Mc Cafferty Shea Doolin Bo Loughran 🇮🇪 https://t.co/QSxaxWXzEp https://t.co/RIxS6lVDrw","1942293694910194010","https://pbs.twimg.com/ext_tw_video_thumb/1942293557630365696/pu/img/XTEzrxYal6sdGZ6Q.jpg","","en","","0","1","0","https://x.com/undefined/status/1942293694910194010","1270986740782845954",
"1960035275331248576","Mon Aug 25 17:43:19 +0000 2025","8","[𝗡𝗲𝘄 𝗔𝗿𝗿𝗶𝘃𝗮𝗹] Tshirt MCPR Punk Is Attitude IDR 220.000 - Available size M L XL XXL Order via Shopee click link on bio! Cash On Delivery https://t.co/ZodGJ9Vj9Z Next Stop Xtreme Mobile Store - 31 Agustus 2025 di YK REBELFEST Stadion Maguwoharjo Jogja. https://t.co/NKOq39qPdw","1960035275331248576","https://pbs.twimg.com/media/GzNxsOVaEAA19ZI.jpg","","en","","0","1","2","https://x.com/undefined/status/1960035275331248576","436617891",
"1966141864475832421","Thu Sep 11 14:08:44 +0000 2025","1","[𝗡𝗲𝘄 𝗔𝗿𝗿𝗶𝘃𝗮𝗹] Tshirt Rebellion Rose Live Rebelfest 2025 IDR 200.000 - Available size M L XL XXL FREE HANDFLAG &amp; STICKER REBELFEST. Order via Shopee click link on bio! Cash On Delivery https://t.co/ZodGJ9Vj9Z 𝘚𝘵𝘰𝘳𝘦 : 𝘑𝘭. 𝘉𝘢𝘬𝘵𝘪 1 𝘒𝘢𝘭𝘪𝘴𝘢𝘳𝘪 https://t.co/43ZKy6ch5j","1966141864475832421","https://pbs.twimg.com/media/G0kjlvlaEAEmAYm.jpg","","en","","0","1","1","https://x.com/undefined/status/1966141864475832421","436617891",
"1963991412661219729","Fri Sep 05 15:43:36 +0000 2025","19","Kemaren rebelfest hari ini pespor aowkwowkwowkooo","1963991412661219729","","","in","","0","3","3","https://x.com/undefined/status/1963991412661219729","1426559030097453057",
"1966095331554410582","Thu Sep 11 11:03:49 +0000 2025","23","[𝗡𝗲𝘄 𝗔𝗿𝗿𝗶𝘃𝗮𝗹] Tshirt The Jeblogs Live Rebelfest 2025 IDR 225.000 - Available size M L XL FREE HANDFLAG &amp; STICKER REBELFEST. Order via Shopee click link on bio! Cash On Delivery https://t.co/ZodGJ9Vj9Z 𝘚𝘵𝘰𝘳𝘦 : 𝘑𝘭. 𝘉𝘢𝘬𝘵𝘪 1 𝘒𝘢𝘭𝘪𝘴𝘢𝘳𝘪 https://t.co/vcIXPpXThq","1966095331554410582","https://pbs.twimg.com/media/G0j5RdmaEAAXPuh.jpg","","en","","0","3","1","https://x.com/undefined/status/1966095331554410582","436617891",
"1675146576879140866","Sat Jul 01 14:17:21 +0000 2023","2","Rebel Fest ready here I come @tinyrebelbrewco #SaturdayVibes #rebelfest https://t.co/96KSDnPU9S","1675146576879140866","https://pbs.twimg.com/media/Fz9Q7q-X0AEb1Rt.jpg","","en","","0","0","0","https://x.com/undefined/status/1675146576879140866","2603565678",
"1963459516638310880","Thu Sep 04 04:30:02 +0000 2025","17","Terima kasih Rebellion Rose atas dukungannya pada Orangutan Indonesia️‍ Selamat ulang tahun ke-17 dan terus berkarya. Konser musik luar biasa tanpa polisi di tengah carut-marut negeri #SendBackHomeOrangutan https://t.co/KgzziLw6yC https://t.co/XXx3qC9vrx","1963459516638310880","https://pbs.twimg.com/media/Gz-bkhXacAAQvoz.jpg","","in","","0","0","7","https://x.com/undefined/status/1963459516638310880","69203712",
"1961071193680908495","Thu Aug 28 14:19:42 +0000 2025","26","[𝗡𝗲𝘄 𝗔𝗿𝗿𝗶𝘃𝗮𝗹] Tshirt One Resistance IDR 149.999 - Available size S M L XL XXL Order via Shopee click link on bio! Cash On Delivery https://t.co/ZodGJ9Vj9Z Next Stop Xtreme Mobile Store - 31 Agustus 2025 di YK REBELFEST Stadion Maguwoharjo Jogja. https://t.co/Zkaq6Mf5ob","1961071193680908495","https://pbs.twimg.com/media/Gzcf2TZbAAErNrp.jpg","","en","","0","2","2","https://x.com/undefined/status/1961071193680908495","436617891",
"1946602502755106854","Sat Jul 19 16:06:17 +0000 2025","21","Agustus: Real debut Mind V di Cherrypop Lanjut Rebelfest kalo kurang puas. Dah gitu aja.","1946602502755106854","","","in","","1","2","3","https://x.com/undefined/status/1946602502755106854","601922499",
"1955328441802481682","Tue Aug 12 18:00:03 +0000 2025","20","Lagu baru kemarin di Cherrypop masih tergolong mid tempo. Besok di YK Rebelfest bawain lagu baru lagi yang totally aggressive. Alerta. Alerta.","1955328441802481682","","","in","","0","0","4","https://x.com/undefined/status/1955328441802481682","601922499",
"1949716810095612159","Mon Jul 28 06:21:26 +0000 2025","0","pgn budal YK Rebelfest tapi yaapa izine ","1949716810095612159","","","in","","1","1","0","https://x.com/undefined/status/1949716810095612159","1114901322535276544",
"1961046934111900068","Thu Aug 28 12:43:18 +0000 2025","0","info barengan rebelfest!!!","1961046934111900068","","","in","","0","1","0","https://x.com/undefined/status/1961046934111900068","1302936929910927360",
"1962004793310003406","Sun Aug 31 04:09:29 +0000 2025","6","ada yang jual tiket rebelfest gaa?","1962004793310003406","","","in","","0","5","0","https://x.com/undefined/status/1962004793310003406","1159013887",
"1962066278371524921","Sun Aug 31 08:13:48 +0000 2025","4","ni kalo ga grgr nganterin tmnku rebelfest gamau aku keluar panas bgt anjing","1962066278371524921","","","in","","0","1","0","https://x.com/undefined/status/1962066278371524921","1426407394192461829",
"1960928827397562547","Thu Aug 28 04:53:59 +0000 2025","0","Amunisi Rebelfest 2025 https://t.co/uhea9tFzWg","1960928827397562547","https://pbs.twimg.com/media/GzaeX1ta4AINtyj.jpg","","in","","0","0","0","https://x.com/undefined/status/1960928827397562547","1706602537569472512",
"1966443474993160229","Fri Sep 12 10:07:13 +0000 2025","2","[𝗡𝗲𝘄 𝗔𝗿𝗿𝗶𝘃𝗮𝗹] Tshirt Rebelfest 2025 IDR 225.000 - Available size M L XL XXL FREE HANDFLAG &amp; STICKER REBELFEST. Order via Shopee click link on bio! Cash On Delivery https://t.co/ZodGJ9Vj9Z 𝘚𝘵𝘰𝘳𝘦 : 𝘑𝘭. 𝘉𝘢𝘬𝘵𝘪 1 𝘒𝘢𝘭𝘪𝘴𝘢𝘳𝘪 𝘑𝘢𝘬𝘢𝘳𝘵𝘢 https://t.co/Un22slVofn","1966443474993160229","https://pbs.twimg.com/media/G0o14_dbwAAi0g1.jpg","","en","","0","1","0","https://x.com/undefined/status/1966443474993160229","436617891",
"1632156569306558465","Sat Mar 04 23:10:24 +0000 2023","1","que ganas del rebelfest Y QUE GANAS DEL CONCIERTO DE LOS CHIKOS","1632156569306558465","","","es","","0","1","0","https://x.com/undefined/status/1632156569306558465","1206228703556059136",
